Country Name,Country Code,Year,IC.FRM.BRIB.GRAFT2,IC.FRM.CORR.CORR1,IC.FRM.CORR.CORR11,IC.FRM.CORR.CRIME9,IC.FRM.CRM.CRIME1,IC.FRM.CRM.CRIME2_C,IC.FRM.CRM.CRIME3_C,IC.FRM.CRM.CRIME8,IC.FRM.EMP.GROW.PEFT2,IC.FRM.FCHAR.CAR2,IC.FRM.FCHAR.CAR7,IC.FRM.FCHAR.CAR8,IC.FRM.FIAS.PEFT4,IC.FRM.FIN.FIN1,IC.FRM.FIN.FIN10,IC.FRM.FIN.FIN11,IC.FRM.FIN.FIN12,IC.FRM.FIN.FIN13,IC.FRM.FIN.FIN14,IC.FRM.FIN.FIN16,IC.FRM.FIN.FIN2,IC.FRM.FIN.FIN20,IC.FRM.FIN.FIN21,IC.FRM.FIN.FIN22,IC.FRM.FIN.FIN7,IC.FRM.GEN.GEND1,IC.FRM.GEN.GEND6,IC.FRM.INFOR.INFOR1,IC.FRM.INFOR.INFOR2,IC.FRM.INFRA.IN10_C,IC.FRM.INFRA.IN11,IC.FRM.INFRA.IN12,IC.FRM.INFRA.IN4_C,IC.FRM.OBS.OBST1,IC.FRM.OBS.OBST12,IC.FRM.OBS.OBST13,IC.FRM.OBS.OBST14,IC.FRM.OBS.OBST4,IC.FRM.OBS.OBST8,IC.FRM.PROD.GROW.PEFT3,IC.FRM.REG.BUS5,IC.FRM.REG.REG2_C,IC.FRM.REG.REG4,IC.FRM.REG.REG5,IC.FRM.REG.REG6,IC.FRM.SLS.GROW.PEFT1,IC.FRM.TRD.TR16,IC.FRM.TRD.TR17,IC.FRM.TRD.TR5,IC.FRM.TRD.TR9,IC.FRM.WRKF.WK10,IC.FRM.WRKF.WK9
Kenya,KEN,2013,16.7,17.4,21.3,30.3,82.3,4.5,5.0,21.2,2.3,89.2,10.0,2.5,43.8,61.4,188.4,74.0,43.2,41.1,35.6,17.2,23.9,48.6,4.5,39.8,15.0,48.7,8.6,59.3,26.9,14.0,21.6,22.2,7.0,9.6,23.9,2.8,9.4,12.3,9.6,-23.1,18.7,2.2,18.1,13.8,70.6,-21.5,21.2,32.8,10.9,22.8,29.7,20.8
Kenya,KEN,2018,15.8,20.9,41.6,9.4,79.6,4.4,4.9,7.9,5.6,91.7,9.8,0.1,33.8,67.7,252.7,81.4,31.6,36.2,33.9,29.1,20.7,43.1,3.7,40.4,14.0,47.5,13.2,68.8,36.6,17.8,14.3,21.0,5.4,18.3,22.9,4.1,13.4,7.7,3.0,-5.9,15.4,2.7,36.1,22.1,60.1,-1.1,12.2,16.3,5.5,17.4,8.2,4.0
Kosovo,XKX,2013,3.6,3.1,51.0,13.7,84.2,3.2,3.3,45.8,8.6,99.3,0.7,0.0,73.4,71.9,275.2,89.9,33.3,55.8,67.4,39.8,17.1,48.1,5.3,3.1,21.9,13.2,7.0,60.8,56.6,12.8,21.6,48.4,9.8,15.7,26.0,2.7,6.7,9.6,9.9,-0.9,5.9,2.8,33.1,30.6,92.1,6.0,12.0,19.1,4.5,28.2,22.9,2.0
Kosovo,XKX,2019,1.9,1.8,56.1,42.8,57.3,13.1,10.5,45.7,1.4,99.3,1.3,0.1,35.9,68.1,269.1,90.1,34.2,53.1,40.2,47.1,10.7,55.4,3.7,24.7,16.9,7.3,5.1,18.7,63.4,7.0,37.0,62.6,3.7,6.1,25.5,7.6,9.5,7.9,15.3,9.9,32.3,2.6,43.9,38.6,82.9,10.0,20.7,28.0,6.5,36.6,44.2,35.5
Kyrgyz Republic,KGZ,2013,50.7,51.9,60.2,6.8,71.5,3.2,4.1,18.9,2.7,81.6,24.5,1.1,44.9,80.5,194.8,84.7,15.8,21.2,28.9,26.2,7.5,41.3,4.0,7.9,8.5,51.2,17.3,44.5,26.9,7.9,16.1,35.8,4.2,5.3,18.6,0.5,8.4,11.5,2.5,-10.4,5.9,2.3,28.1,20.2,91.4,-6.5,9.5,15.6,5.0,12.0,34.6,2.2
Kyrgyz Republic,KGZ,2019,27.0,28.7,35.0,17.7,78.3,3.0,5.9,27.8,2.3,84.4,19.4,0.6,40.8,87.3,244.3,93.6,16.7,18.8,25.8,16.7,7.2,69.1,7.0,7.3,6.4,45.0,26.9,51.4,39.0,2.9,13.7,31.1,1.1,8.2,23.7,1.9,6.2,17.5,2.1,-1.5,9.1,2.4,17.4,14.6,82.4,1.2,9.9,16.7,5.9,15.3,33.2,0.6
Lao PDR,LAO,2012,23.0,23.5,17.6,8.2,56.8,3.2,2.7,14.5,0.7,91.9,9.0,0.8,47.3,81.0,197.0,88.9,20.6,28.7,32.6,9.5,9.3,48.8,5.9,16.3,11.1,41.9,13.0,42.3,10.3,21.0,8.8,16.6,2.5,13.1,17.6,6.4,14.7,4.9,4.0,0.3,3.4,4.4,14.2,9.2,92.9,0.5,18.6,27.9,14.1,12.4,16.4,1.2
Lao PDR,LAO,2016,14.6,13.7,2.2,0.8,27.4,3.0,1.9,0.2,-0.5,92.6,7.3,0.4,17.0,81.2,275.9,96.2,15.9,8.3,12.4,5.7,10.6,52.1,4.3,5.3,3.7,43.1,43.0,77.2,39.8,71.8,23.4,23.3,2.6,4.9,26.7,0.9,22.1,3.2,13.0,-24.2,2.0,5.0,33.4,2.8,91.5,-24.5,2.9,5.7,1.5,7.6,22.9,3.8
Lao PDR,LAO,2018,35.8,35.2,8.2,7.0,27.5,1.9,2.3,4.9,0.6,90.2,9.5,1.1,32.7,88.7,225.1,93.2,8.6,23.1,27.4,17.4,6.4,49.8,9.6,3.8,11.7,36.5,35.5,39.9,18.0,3.6,7.9,17.6,0.9,35.2,16.6,0.7,8.4,0.3,11.6,-5.5,9.7,2.8,8.0,6.1,85.4,-3.3,11.1,12.7,6.1,11.4,11.8,0.2
Latvia,LVA,2013,1.5,0.6,12.5,3.9,65.1,1.3,1.1,8.5,8.1,89.8,10.7,0.2,41.2,75.0,290.9,65.6,10.1,12.0,21.6,13.3,8.3,75.2,34.2,28.5,5.0,41.6,25.4,27.1,17.5,8.6,13.1,23.1,0.3,13.3,6.6,8.0,39.9,4.2,0.3,-0.8,3.0,2.0,48.1,9.5,37.5,5.2,22.6,27.8,12.2,4.4,26.0,3.8
