Variable,Label
ec87,EC87 Please enter the number of persons the enterprise engages aged: 16 - 17 yea
ec89,EC89 Please enter the number of persons the enterprise engages aged: 18-35 years
ec90_1,EC90_1 Please enter the number of persons the enterprise engages aged: 36+ years
ec91,EC91 Do you provide training for working persons under 18 years of age? And if s
ec92,EC92 Payment of Training for working persons under 18 years of age
hhe_extraprod,Does the business employ any workers in the HIGH SEASON or to meet EXTRA PRODUCT
ec93,EC93 How many workers do you engage during high season or to meet extra producti
ec95,EC95 How many workers do you engage during high season or to meet extra producti
ec97,C103 How many workers do you engage during high season or to meet extra producti
ec99,C104 How many workers do you engage during high season or to meet extra producti
ec94,EC93_1 How many workers do you engage during high season or to meet extra produc
ec96,C103 How many workers do you engage during high season or to meet extra producti
ec98,C103_1 How many workers do you engage during high season or to meet extra produc
ec100,C104_1 How many workers do you engage during high season or to meet extra produc
ec101,C105 What is the main reason for using persons aged 5 - 17 yrs?
ed01,ED01 Number of MALE EMPLOYEES at the START of the establishment
ed02,ED02 Number of FEMALE EMPLOYEES at the START of the establishment
hhm_name_301,How many persons own /co-own/manage this establishment?
edchk,What are the highest educational qualifications of your employees?
ef01_1,EF01_1 None
ef01_2,EF01_2 CPE/KCPE
ef01_3,EF01_3 KCE/KCSE
ef01_4,EF01_4 KJSE
ef01_5,EF01_5 KACE/EAACE
ef01_6,EF01_6 Certificate
ef01_7,EF01_7 Diploma
ef01_8,EF01_8 Higher Diploma
ef01_9,EF01_9 Degree
ef01_10,EF01_10 Post Graduate Diploma
ef01_11,EF01_11 Post Graduate Degree
ef01_12,EF01_12 Other (Specify)
vcchk,What are the highest vocational/proffessional qualifications of your employees?
ef02_1,EF02_1 None
ef02_2,EF02_2 Artisan grade 1
ef02_3,EF02_3 Artisan grade 2
ef02_4,EF02_4 Artisan grade 3
ef02_5,EF02_5 KATC
ef02_6,EF02_6 CPA / CPS
ef02_7,EF02_7 Teaching
ef02_8,EF02_8 Nursing
ef02_9,EF02_9 Computer packages
ef02_10,EF02_10 Diploma
ef02_11,EF02_11 Degree
ef02_12,EF02_12 Post Graduate Diploma
ef02_13,EF02_13 Post Graduate Degree
ef02_14,EF02_14 Other (Specify)
b_01,B_01 Do you have any employee who has undergone training in relation to their jo
emp_trained_i,Please enter the number of employees
vdchk,What types of trainings have the employees received?
ef03_1,EF03_1 Management
ef03_2,EF03_2 Technical/Advice
ef03_3,EF03_3 Marketing
ef03_4,EF03_4 Information Technology (ICT)
ef03_5,EF03_5 Informal Advice/training
ef03_6,EF03_6 Consultancy Advice
ef03_7,EF03_7 Business Counseling
ef03_8,EF03_8 Finance & Accounting
ef03_12,EF03_12 Other (specify)
ef04_1,EF04_1 Management
ef04_2,EF04_2 Technical/Advice
ef04_3,EF04_3 Marketing
ef04_4,EF04_4 Information Technology (ICT)
ef04_5,EF04_5 Informal Advice/training
ef04_6,EF04_6 Consultancy Advice
ef04_7,EF04_7 Business Counseling
ef04_8,EF04_8 Finance & Accounting
ef04_12,EF04_12 Other (specify)
ef05_1,EF05_1 Management
