Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,License URL
IC.FRM.FIN.FIN14,CC BY-4.0,Percent of firms with a bank loan/line of credit,Percentage of firms with bank loans or line of credit.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Finance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FIN.FIN15,CC BY-4.0,Percent of firms with a checking or savings account,Percentage of firms with a checking or savings account.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Finance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.GEN.GEND4,CC BY-4.0,Percent of firms with a female top manager,Percentage of firms with females as the top manager.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Gender,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INNOV.T2,CC BY-4.0,Percent of firms with an annual financial statement reviewed by external auditors,Percentage of firms with their annual financial statement reviewed by an external auditor.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Firm Characteristics,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INNOV.T1,CC BY-4.0,Percent of firms with an internationally-recognized quality certification,"Percentage of firms that have an internationally-recognized quality certification, i.e. ISO 9000, 9002 or 14000.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Firm Characteristics,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FCHAR.CAR7,CC BY-4.0,Percent of firms with at least 10% of foreign ownership,"Percentage of firms that have at least 10% owned by private foreign individuals, companies or organizations.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Firm Characteristics,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FCHAR.CAR8,CC BY-4.0,Percent of firms with at least 10% of government/state ownership,Percentage of firms where the government or state has at least a 10% share in ownership of the firm.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Firm Characteristics,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.GEN.GEND1,CC BY-4.0,Percent of firms with female participation in ownership,Percentage of firms with females among the owners.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Gender,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FCHAR.LFORM3,CC BY-4.0,Percent of firms with legal status of Sole Proprietorship,Percent of firms with legal status of Sole Proprietorship,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Firm Characteristics,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.GEN.GEND6,CC BY-4.0,Percent of firms with majority female ownership,Percentage of firms with majority female ownership,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Gender,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.CRM.CRIME5,CC BY-4.0,Products shipped to supply domestic markets that were lost due to theft (% of product value)*,"Value of losses of products, due to theft, while in transit to domestic markets.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Crime,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FIN.FIN2,CC BY-4.0,Proportion of investment financed by banks (%),Estimated proportion of purchases of fixed assets that was financed from bank loans.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Finance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FIN.FIN1,CC BY-4.0,Proportion of investment financed internally (%),Estimated proportion of purchases of fixed assets that was financed from internal funds/retained earnings.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Finance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FIN.FIN11,CC BY-4.0,Proportion of loans requiring collateral (%),Loans requiring collateral in order to get the financing.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Finance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.GEN.GEND3,CC BY-4.0,Proportion of permanent full-time non-production workers that are female (%)*,Percentage of permanent full-time non-production workers that are female.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Gender,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.GEN.GEND5,CC BY-4.0,Proportion of permanent full-time production workers that are female (%)*,Percentage of permanent full-time production workers that are female.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Gender,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.GEN.GEND2,CC BY-4.0,Proportion of permanent full-time workers that are female (%),Percentage of full-time workers that are female.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Gender,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.WRKF.WK18,CC BY-4.0,Proportion of permanent workers (out of all workers),The proportion of permanent workers out of all workers.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Workforce,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FCHAR.CAR2,CC BY-4.0,Proportion of private domestic ownership in a firm (%),"Percentage of the firm owned by domestic individuals, companies or organizations.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Firm Characteristics,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.WRKF.WK15,CC BY-4.0,Proportion of production workers (out of all permanent workers)*,Proportion of production workers out of all permanent workers*.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Workforce,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INFRA.IN14,CC BY-4.0,Proportion of products lost to breakage or spoilage during shipping to domestic markets (%)*,Percentage of products shipped to supply domestic markets lost due to breakage or spoilage.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Infrastructure,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.WRKF.WK19,CC BY-4.0,Proportion of skilled workers (out of all production workers) (%)*,Proportion of skilled workers out of all production workers*.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Workforce,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.WRKF.WK17,CC BY-4.0,Proportion of temporary workers (out of all workers),The proportion of temporary workers out of all workers.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Workforce,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.TRD.TR8,CC BY-4.0,Proportion of total inputs that are of foreign origin (%)*,Percentage of material inputs and/or supplies of foreign origin.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Trade,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.TRD.TR5,CC BY-4.0,Proportion of total sales that are exported directly (%),Sales exported directly as percentage of total sales.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Trade,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.WRKF.WK2,CC BY-4.0,Proportion of workers offered formal training (%)*,"Percentage of permanent, full-time employees that have received formal training.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Workforce,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FIN.FIN7,CC BY-4.0,Proportion of working capital financed by banks (%),Proportion of the working capital that was financed by bank loans.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Finance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.PROD.GROW.PEFT3,CC BY-4.0,Real annual labor productivity growth (%),"Annual labor productivity growth is measured by a percentage change in labor productivity between the last completed fiscal year and a previous period, where labor productivity is sales divided by the number of full- time permanent workers. All sales values are deflated to 2009 using each countryâ€™s GDP deflators.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Performance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.SLS.GROW.PEFT1,CC BY-4.0,Real annual sales growth (%),Real annual sales growth is measured as a percentage change in sales between the last completed fiscal year and a previous period. All sales values are deflated to 2009 using each countryâ€™s GDP deflators.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Performance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.REG.REG1,CC BY-4.0,Senior management time spent dealing with the requirements of government regulation (%),"Average percentage of senior managementâ€™s time that is spent in a typical week dealing with requirements imposed by government regulations (eg. taxes, customs, labor regulations, licensing and registration), including dealings with officials, completing forms, et cetera.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Regulations and Taxes,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FIN.FIN10,CC BY-4.0,Value of collateral needed for a loan (% of the loan amount),Value of collateral needed for a loan or line of credit as a percentage of the loan value or the value of the line of credit.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Finance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.CORR.CORR3,CC BY-4.0,Value of gift expected to secure a government contract (% of contract value),Percentage of contract value expected as a gift to secure government contract. Only firms that have confirmed that they have secured or attempted to secure a government contract in the last 12 months were required to answer this question.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Corruption,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.WRKF.WK8,CC BY-4.0,Years of the top manager's experience working in the firm's sector,Years of experience of the top manager working in the sector.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Workforce,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
